CHEBI:16113	cholesterol
CHEBI:15904	long-chain fatty acid
CHEBI:17002	cholesterol ester
CHEBI:16761	ADP
CHEBI:49203	torcetrapib
CHEBI:17504	1-O-acyl-sn-glycero-3-phosphocholine(1+)
CHEBI:18367	phosphate(3-)
CHEBI:17408	monoglyceride
CHEBI:57762	L-valine zwitterion
CHEBI:15745	2-aminomuconic 6-semialdehyde
CHEBI:32816	pyruvic acid
CHEBI:16946	L-kynurenine
CHEBI:16908	NADH
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:15379	dioxygen
CHEBI:17627	ferroheme b
CHEBI:57844	L-methionine zwitterion
CHEBI:16474	NADPH
CHEBI:32513	L-histidinium(1+)
CHEBI:17380	3-hydroxy-L-kynurenine
CHEBI:15846	NAD(+)
CHEBI:58315	L-tyrosine zwitterion
CHEBI:16886	2-aminomuconic acid
CHEBI:57912	L-tryptophan zwitterion
CHEBI:58095	L-phenylalanine zwitterion
CHEBI:29985	L-glutamate(1-)
CHEBI:18377	N-formylkynurenine
CHEBI:57427	L-leucine zwitterion
CHEBI:17442	4-(2-aminophenyl)-2,4-dioxobutanoic acid
CHEBI:16810	2-oxoglutarate(2-)
CHEBI:15793	3-hydroxyanthranilic acid
CHEBI:58045	L-isoleucine zwitterion
CHEBI:55528	(R)-indole-3-lactic acid
CHEBI:57972	L-alanine zwitterion
CHEBI:16526	carbon dioxide
CHEBI:18344	kynurenic acid
CHEBI:29044	2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate
CHEBI:18248	iron atom
CHEBI:18009	NADP(+)
CHEBI:30751	formic acid
CHEBI:43580	3-(1H-indol-3-yl)propanoic acid
CHEBI:17794	3-phospho-D-glyceric acid
CHEBI:15946	keto-D-fructose 6-phosphate
CHEBI:15422	ATP
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:18420	magnesium(2+)
CHEBI:16001	3-phospho-D-glyceroyl dihydrogen phosphate
CHEBI:32816	pyruvic acid
CHEBI:17835	2-phospho-D-glyceric acid
CHEBI:16908	NADH
CHEBI:16761	ADP
CHEBI:29052	D-glyceraldehyde 3-phosphate
CHEBI:17665	alpha-D-glucose 6-phosphate
CHEBI:28602	beta-D-fructofuranose 2,6-bisphosphate
CHEBI:15846	NAD(+)
CHEBI:18367	phosphate(3-)
CHEBI:16108	glycerone phosphate
CHEBI:18021	phosphoenolpyruvate
CHEBI:16905	keto-D-fructose 1,6-bisphosphate
CHEBI:3699	cimetidine
CHEBI:42820	guanidine
CHEBI:15378	hydron
CHEBI:641	N-methyl-4-phenylpyridinium
CHEBI:16737	creatinine
CHEBI:46020	tetramethylammonium
CHEBI:17996	chloride
CHEBI:8428	procainamide
CHEBI:6801	metformin
CHEBI:17864	taurolithocholic acid sulfate
CHEBI:16199	urea
